category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Slum dwellers,composting_toilet,Access to composting toilet,p,49,32,89,UA,Ukraine,2007,0.5
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,48.000002,37.82998,89,UA,Donetsk,2000,-0.61
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,48.000002,37.82998,89,UA,Donetsk,2010,-0.64
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49.999983,36.250025,89,UA,Kharkiv,2000,-0.21
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49.999983,36.250025,89,UA,Kharkiv,2010,-0.15
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,47.857297,35.176809,89,UA,Zaporizhzhya,2000,-0.59
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,47.857297,35.176809,89,UA,Zaporizhzhya,2010,-0.56
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,50.433367,30.516628,89,UA,Kiev,2000,0.73
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,50.433367,30.516628,89,UA,Kiev,2010,0.48
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1985,0.63
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1955,2.46
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2020,0.4
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1990,0.06
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1960,1.58
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2025,0.48
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1995,0.06
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1965,1.59
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2030,0.5
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2000,0.19
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,1970,1.26
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2035,0.47
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,49,32,89,UA,Ukraine,2005,0.09
